Instrument,DSPLY_NMLL,COUNTRY
GFCOVD=ECI,COVID19 Tot Cases WHO,GUF
GFDCOV=ECI,NCOV19 Deaths RTR,GUF
GFNCOV=ECI,NCOV19 New Cases RTR,GUF
GFRCOV=ECI,NCOV19 Recovered RTR,GUF
GGCOVD=ECI,COVID19 Tot Cases WHO,GGY
GHACOV=ECI,NCOV19 Act Cases RTR,GHA
GHCCOV=ECI,NCOV19 Tot Cases RTR,GHA
GHCOVD=ECI,COVID19 Tot Cases WHO,GHA
GHDCOV=ECI,NCOV19 Deaths RTR,GHA
GHNCOV=ECI,NCOV19 New Cases RTR,GHA
GHRCOV=ECI,NCOV19 Recovered RTR,GHA
GIACOV=ECI,NCOV19 Act Cases RTR,GIB
GICCOV=ECI,NCOV19 Tot Cases RTR,GIB
GICOVD=ECI,COVID19 Tot Cases WHO,GIB
GIDCOV=ECI,NCOV19 Deaths RTR,GIB
GINCOV=ECI,NCOV19 New Cases RTR,GIB
GIRCOV=ECI,NCOV19 Recovered RTR,GIB
GLACOV=ECI,NCOV19 Act Cases RTR,GRL
GLCCOV=ECI,NCOV19 Tot Cases RTR,GRL
GLCOVD=ECI,COVID19 Tot Cases WHO,GRL
GLDCOV=ECI,NCOV19 Deaths RTR,GRL
GLNCOV=ECI,NCOV19 New Cases RTR,GRL
GLRCOV=ECI,NCOV19 Recovered RTR,GRL
GMACOV=ECI,NCOV19 Act Cases RTR,GMB
GMCCOV=ECI,NCOV19 Tot Cases RTR,GMB
GMCOVD=ECI,COVID19 Tot Cases WHO,GMB
GMDCOV=ECI,NCOV19 Deaths RTR,GMB
GMNCOV=ECI,NCOV19 New Cases RTR,GMB
GMRCOV=ECI,NCOV19 Recovered RTR,GMB
GNACOV=ECI,NCOV19 Act Cases RTR,GIN
GNCCOV=ECI,NCOV19 Tot Cases RTR,GIN
GNCOVD=ECI,COVID19 Tot Cases WHO,GIN
GNDCOV=ECI,NCOV19 Deaths RTR,GIN
GNNCOV=ECI,NCOV19 New Cases RTR,GIN
GNRCOV=ECI,NCOV19 Recovered RTR,GIN
GPACOV=ECI,NCOV19 Act Cases RTR,GLP
GPCCOV=ECI,NCOV19 Tot Cases RTR,GLP
GPCOVD=ECI,COVID19 Tot Cases WHO,GLP
GPDCOV=ECI,NCOV19 Deaths RTR,GLP
GPNCOV=ECI,NCOV19 New Cases RTR,GLP
GPRCOV=ECI,NCOV19 Recovered RTR,GLP
GQACOV=ECI,NCOV19 Act Cases RTR,GNQ
GQCCOV=ECI,NCOV19 Tot Cases RTR,GNQ
GQCOVD=ECI,COVID19 Tot Cases WHO,GNQ
GQDCOV=ECI,NCOV19 Deaths RTR,GNQ
GQNCOV=ECI,NCOV19 New Cases RTR,GNQ
GQRCOV=ECI,NCOV19 Recovered RTR,GNQ
